r_angstrom,g_r,n_r
2.675000000000000266e+00,1.509584412299578959e+00,3.356317667694913798e+00
2.725000000000000089e+00,1.251950098727366845e+00,3.679308050565536004e+00
2.775000000000000355e+00,1.050532026800456320e+00,3.958711365148491979e+00
2.825000000000000178e+00,9.010764315285143544e-01,4.204280832274844393e+00
2.875000000000000000e+00,7.530385992860390010e-01,4.419872376459202279e+00
2.925000000000000266e+00,6.528652140300384987e-01,4.609663249259058126e+00
2.975000000000000089e+00,5.694426431739221250e-01,4.780420220165729539e+00
3.025000000000000355e+00,4.835497171979518671e-01,4.932521320994375458e+00
3.075000000000000178e+00,4.374770032337293446e-01,5.070106000120971679e+00
3.125000000000000000e+00,3.880597442448669443e-01,5.197483820238311125e+00
3.175000000000000266e+00,3.607656055838083797e-01,5.316828464283555711e+00
3.225000000000000089e+00,3.172097502823260640e-01,5.428291144982762439e+00
3.275000000000000355e+00,2.926840564664294209e-01,5.531758452791387448e+00
3.325000000000000178e+00,2.612872172414621441e-01,5.628629105425513757e+00
3.375000000000000000e+00,2.548418219978164090e-01,5.721700538317304741e+00
3.425000000000000266e+00,2.470544336868352453e-01,5.814923183935160722e+00
3.475000000000000089e+00,2.309378065261556978e-01,5.906312375249501478e+00
3.525000000000000355e+00,2.172388762684960561e-01,5.994507197725762460e+00
3.575000000000000178e+00,2.107446170493167958e-01,6.081170991350632882e+00
3.625000000000000000e+00,1.987950824407650474e-01,6.166436067259421172e+00
3.675000000000000266e+00,1.994315643501077540e-01,6.251701143168209462e+00
3.725000000000000089e+00,2.047941167228631842e-01,6.340652029274784773e+00
3.775000000000000355e+00,2.042746108058283994e-01,6.433099709671567190e+00
3.825000000000000178e+00,2.011395743631574362e-01,6.527172926873526571e+00
3.875000000000000000e+00,1.961390246113694502e-01,6.621794290207464684e+00
3.925000000000000266e+00,2.108712888553999354e-01,6.721330067138452158e+00
3.975000000000000089e+00,2.213062828294738160e-01,6.829730690134883098e+00
4.025000000000000355e+00,2.272404645985951765e-01,6.945087098530213332e+00
