r_angstrom,g_r,n_r
2.675000000000000266e+00,1.574511006687463688e+00,3.494885229540918736e+00
2.725000000000000089e+00,1.294399823734823096e+00,3.830407367084013082e+00
2.775000000000000355e+00,9.979901516595204303e-01,4.108374160769370675e+00
2.825000000000000178e+00,8.480199193678559233e-01,4.340636908002176497e+00
2.875000000000000000e+00,6.966887721285801582e-01,4.541938849573578629e+00
2.925000000000000266e+00,5.848154601987330947e-01,4.714888405008164973e+00
2.975000000000000089e+00,4.768168503402642755e-01,4.863114679731444845e+00
3.025000000000000355e+00,4.550148854015815258e-01,4.997845218653600874e+00
3.075000000000000178e+00,3.918261473375739268e-01,5.124296860823805311e+00
3.125000000000000000e+00,3.230217982820400846e-01,5.234530938123750587e+00
3.175000000000000266e+00,3.013769596452060551e-01,5.334047813463979715e+00
3.225000000000000089e+00,2.826050502515268237e-01,5.430105697695516653e+00
3.275000000000000355e+00,2.750287049898108016e-01,5.524745962620213113e+00
3.325000000000000178e+00,2.505420995943173357e-01,5.616664398475774256e+00
3.375000000000000000e+00,2.403856408472109796e-01,5.705180547994917362e+00
3.425000000000000266e+00,2.295079540215770597e-01,5.792449192524041557e+00
3.475000000000000089e+00,2.363922633652382477e-01,5.881589094538195006e+00
3.525000000000000355e+00,2.280298269851011028e-01,5.972997187443294109e+00
3.575000000000000178e+00,2.145177739484530333e-01,6.062590727635636334e+00
3.625000000000000000e+00,1.911869860844097879e-01,6.147024133551077796e+00
3.675000000000000266e+00,1.982994200983385635e-01,6.230436853565594291e+00
3.725000000000000089e+00,2.113210815356365568e-01,6.320597441480672707e+00
3.775000000000000355e+00,2.094743281717949546e-01,6.415691344583557942e+00
3.825000000000000178e+00,1.929396396768896516e-01,6.509027399745960452e+00
3.875000000000000000e+00,2.006821809322398287e-01,6.602817093086551736e+00
3.925000000000000266e+00,2.130090137243178250e-01,6.703978406822716174e+00
3.975000000000000089e+00,2.300156118207447309e-01,6.815119760479039002e+00
4.025000000000000355e+00,2.217228047553066461e-01,6.931251134095442801e+00
